exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial
F,3,dinov2_b,base,8,cls,scene_pooled,base,log_mass,600,600,r2,0.0004739201436090301,-0.00949072843118053,0.004768833720780705,0.0
F,3,dinov2_b,base,8,mean,scene_pooled,base,friction_slide,600,600,r2,-0.002284834324799423,-0.027946821084368228,0.020325673475510425,0.0
F,3,dinov2_b,base,8,mean,scene_pooled,base,log_mass,600,600,r2,0.0016730888865172933,-0.008778888045709855,0.006954671762184979,0.0
F,3,random_b,base,11,cls,scene_pooled,base,friction_slide,600,600,r2,0.001290442700352612,-0.009497660674711444,0.0050896951447139205,0.0
F,3,random_b,base,11,cls,scene_pooled,base,log_mass,600,600,r2,0.00084958692579018,-0.008766978288178228,0.004666368235895538,0.0
F,3,random_b,base,11,mean,scene_pooled,base,friction_slide,600,600,r2,0.0012815754753900954,-0.009804412373412712,0.0055889783582118826,0.0
F,3,random_b,base,11,mean,scene_pooled,base,log_mass,600,600,r2,0.0005043898917823642,-0.008949396649139314,0.003956589365247568,0.0
F,3,random_b,base,2,cls,scene_pooled,base,friction_slide,600,600,r2,0.0016126243928135109,-0.009013972925910696,0.004743684291422614,0.0
F,3,random_b,base,2,cls,scene_pooled,base,log_mass,600,600,r2,0.0005468409676581132,-0.008860307498255499,0.0037618135604109925,0.0
F,3,random_b,base,2,mean,scene_pooled,base,friction_slide,600,600,r2,0.0010764099876788835,-0.009936495615015228,0.005406615628701783,0.0
F,3,random_b,base,2,mean,scene_pooled,base,log_mass,600,600,r2,0.0004460851157688239,-0.00909112683638456,0.003703683875193881,0.0
F,3,random_b,base,5,cls,scene_pooled,base,friction_slide,600,600,r2,0.0014406339606642948,-0.009353702880851661,0.0047913684036251115,0.0
F,3,random_b,base,5,cls,scene_pooled,base,log_mass,600,600,r2,0.0009366177519252172,-0.0085548960048349,0.0044969183234107,0.0
F,3,random_b,base,5,mean,scene_pooled,base,friction_slide,600,600,r2,0.0011350283924248528,-0.010028780303915252,0.0056084940078549,0.0
