exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial,majority_rate
E,3,dinov2_b,paired,8,cls,transfer,occluded,obj_pos_y,1760,176,r2,0.3180086334378627,0.20375174019427195,0.4083475489245437,0.0,
E,3,dinov2_b,paired,8,cls,transfer,occluded,obj_speed,1760,176,r2,0.07441324011812966,0.004597886285840253,0.13075292253655155,0.0,
E,3,dinov2_b,paired,8,cls,transfer,occluded,support_state,1760,176,balanced_accuracy,0.6232289336316181,0.5887904515314194,0.6577998069969871,0.5,0.8465909090909091
E,3,dinov2_b,paired,8,cls,transfer,occluded,support_state,1760,176,auroc,0.726234153616704,0.6913316255832572,0.7614986872282726,0.5,0.8465909090909091
E,3,dinov2_b,paired,8,mean,transfer,base,contact_state,6000,600,balanced_accuracy,0.880625,0.8731249999999999,0.8890277777777778,0.5,0.6
E,3,dinov2_b,paired,8,mean,transfer,base,contact_state,6000,600,auroc,0.9526009259259259,0.9481138339120371,0.9574027604166666,0.5,0.6
E,3,dinov2_b,paired,8,mean,transfer,base,ee_obj_dist,6000,600,r2,0.9359911236602364,0.9314140087421259,0.9406669161469805,0.0,
E,3,dinov2_b,paired,8,mean,transfer,base,friction_slide,6000,600,r2,-0.003324566262459694,-0.018610261502276914,0.007750085099259557,0.0,
E,3,dinov2_b,paired,8,mean,transfer,base,log_mass,6000,600,r2,0.0017806265242105157,-0.011433116083229656,0.010656320042125446,0.0,
E,3,dinov2_b,paired,8,mean,transfer,base,obj_pos_x,6000,600,r2,0.9324727560921915,0.9256024900350716,0.9386418542205316,0.0,
E,3,dinov2_b,paired,8,mean,transfer,base,obj_pos_y,6000,600,r2,0.9021937834449298,0.8918796179858397,0.9113904881339101,0.0,
E,3,dinov2_b,paired,8,mean,transfer,base,obj_speed,6000,600,r2,0.23728259497227877,0.21158640010706195,0.25907265344729913,0.0,
E,3,dinov2_b,paired,8,mean,transfer,base,support_state,6000,600,balanced_accuracy,0.7558627182471755,0.7370043743075894,0.7737326608732741,0.5,0.8466666666666667
E,3,dinov2_b,paired,8,mean,transfer,base,support_state,6000,600,auroc,0.8883821893187265,0.875875842626793,0.9010446854060289,0.5,0.8466666666666667
E,3,dinov2_b,paired,8,mean,transfer,occluded,contact_state,1760,176,balanced_accuracy,0.8008996212121212,0.7919034090909091,0.8101325757575757,0.5,0.6
E,3,dinov2_b,paired,8,mean,transfer,occluded,contact_state,1760,176,auroc,0.8910971397210744,0.8806386395919421,0.9017082781831095,0.5,0.6
E,3,dinov2_b,paired,8,mean,transfer,occluded,ee_obj_dist,1760,176,r2,0.5620445274281831,0.526922435650058,0.5964127283696568,0.0,
E,3,dinov2_b,paired,8,mean,transfer,occluded,friction_slide,1760,176,r2,-0.009363830480125568,-0.0439590293657897,0.008695372923688596,0.0,
E,3,dinov2_b,paired,8,mean,transfer,occluded,log_mass,1760,176,r2,0.0017448027037207936,-0.0298382823410398,0.01579073401206751,0.0,
E,3,dinov2_b,paired,8,mean,transfer,occluded,obj_pos_x,1760,176,r2,0.7886820139367361,0.7573689000119633,0.8145255340045385,0.0,
E,3,dinov2_b,paired,8,mean,transfer,occluded,obj_pos_y,1760,176,r2,0.4728042566984071,0.38107103082745325,0.5475008178597861,0.0,
E,3,dinov2_b,paired,8,mean,transfer,occluded,obj_speed,1760,176,r2,0.048405056793439316,-0.021471408706038506,0.1052153655623799,0.0,
E,3,dinov2_b,paired,8,mean,transfer,occluded,support_state,1760,176,balanced_accuracy,0.5993412875963211,0.5670435703912642,0.6315476864846317,0.5,0.8465909090909091
E,3,dinov2_b,paired,8,mean,transfer,occluded,support_state,1760,176,auroc,0.7195326870494656,0.6835563172729935,0.7545952183142927,0.5,0.8465909090909091
E,4,dinov2_b,occluded,11,cls,matched,occluded,contact_state,2000,200,balanced_accuracy,0.8716666666666667,0.8595781250000001,0.88375,0.5,0.6
