exp,encoder,train_condition,layer,view,task,eval_condition,target,metric,value,ci_low,ci_high,seed_sd,n_seeds,trivial,majority_rate
D,dinov2_b,base,11,mean,real,base,contact_state,balanced_accuracy,0.8912916666666668,0.879234375,0.900765625,0.0025366145904032896,5,0.5,0.6
D,dinov2_b,base,11,mean,real,base,ee_obj_dist,r2,0.936806225946548,0.9298059394645204,0.9431115857871772,0.0014948277823719615,5,0.0,
D,dinov2_b,base,11,mean,real,base,friction_slide,r2,-0.00038292487084463646,-0.028153776629255417,0.01626477439062219,0.006113181614116135,5,0.0,
D,dinov2_b,base,11,mean,real,base,log_mass,r2,-0.006760286785948555,-0.027576842198017305,0.0069459309086129985,0.0034744008873284957,5,0.0,
D,dinov2_b,base,11,mean,real,base,obj_pos_x,r2,0.9171431733221972,0.9012405959246031,0.931217137480202,0.004303110909523556,5,0.0,
D,dinov2_b,base,11,mean,real,base,obj_pos_y,r2,0.8941251815738435,0.8757404750116158,0.9075129682325179,0.002498474772091781,5,0.0,
D,dinov2_b,base,11,mean,real,base,obj_speed,r2,0.2503176637444119,0.2092330826111576,0.28367733339962925,0.011708311675080513,5,0.0,
D,dinov2_b,base,11,mean,real,base,support_state,auroc,0.8967018787130481,0.8801116993181761,0.917940656221553,0.004874979139870632,5,0.5,0.8443333333333334
D,dinov2_b,base,11,mean,real,base,support_state,balanced_accuracy,0.7554025709328345,0.7301483507901512,0.7909311423549399,0.009120366237274939,5,0.5,0.8443333333333334
D,random_b,base,2,cls,real,base,contact_state,auroc,0.8391447453703703,0.8271306481481482,0.8516978153935185,0.003392434851574798,5,0.5,0.6
D,random_b,base,2,cls,real,base,contact_state,balanced_accuracy,0.7454444444444445,0.7322222222222222,0.7589583333333334,0.002711216414166229,5,0.5,0.6
D,random_b,base,2,cls,real,base,ee_obj_dist,r2,0.6012811072437951,0.5827611648262337,0.6217700311581612,0.002466106725140564,5,0.0,
D,random_b,base,2,cls,real,base,friction_slide,r2,-0.004359628566447849,-0.035326086199968174,0.008725705298580279,0.006735215272335511,5,0.0,
D,random_b,base,2,cls,real,base,log_mass,r2,-0.0011179264598705884,-0.016353571534177724,0.008331039831241317,0.002117704855491032,5,0.0,
D,random_b,base,2,cls,real,base,obj_pos_x,r2,0.449911255121661,0.3974076247104589,0.48402664967537096,0.007956982119871177,5,0.0,
D,random_b,base,2,cls,real,base,obj_pos_y,r2,0.4489843490620794,0.40008559493374,0.4921236728979109,0.014160294552638572,5,0.0,
D,random_b,base,2,cls,real,base,obj_speed,r2,0.08017884005365931,0.05581953130950844,0.09767331349815016,0.003988478311854242,5,0.0,
D,random_b,base,2,cls,real,base,support_state,auroc,0.7529434471285297,0.7256139836704498,0.7824001871979162,0.006383342407584811,5,0.5,0.8443333333333334
D,random_b,base,2,cls,real,base,support_state,balanced_accuracy,0.5869263042284334,0.5658017105715925,0.6080154364429323,0.004791392554459149,5,0.5,0.8443333333333334
D,random_b,base,2,mean,real,base,contact_state,auroc,0.8480182175925925,0.8386599652777779,0.8594762789351852,0.0026838556530501896,5,0.5,0.6
D,random_b,base,2,mean,real,base,contact_state,balanced_accuracy,0.7535833333333334,0.7399305555555555,0.7679166666666666,0.002948110924760388,5,0.5,0.6
D,random_b,base,2,mean,real,base,ee_obj_dist,r2,0.622358337837236,0.6001815611756243,0.6452738113988506,0.0063340575708444756,5,0.0,
D,random_b,base,2,mean,real,base,friction_slide,r2,-0.004415255207443014,-0.0432170685405726,0.009834275449169002,0.00889860130745224,5,0.0,
D,random_b,base,2,mean,real,base,log_mass,r2,-0.0003112346325827353,-0.016495095013270556,0.008958629964727679,0.0016860254442793907,5,0.0,
D,random_b,base,2,mean,real,base,obj_pos_x,r2,0.4957105190101113,0.46573274148531574,0.5248359937599272,0.00384283144287905,5,0.0,
D,random_b,base,2,mean,real,base,obj_pos_y,r2,0.5008358200094458,0.4617016153654284,0.5372057515027834,0.010124812161878584,5,0.0,
D,random_b,base,2,mean,real,base,obj_speed,r2,0.08730544679194237,0.05829382677551534,0.10722487190361168,0.006503622076860055,5,0.0,
D,random_b,base,2,mean,real,base,support_state,auroc,0.7566834950679047,0.7269863605545457,0.785050640666693,0.006480002830016089,5,0.5,0.8443333333333334
D,random_b,base,2,mean,real,base,support_state,balanced_accuracy,0.5988969119223337,0.5827606764409922,0.6163393716898017,0.0013659440756207827,5,0.5,0.8443333333333334
D,random_b,base,5,cls,real,base,contact_state,auroc,0.8422477777777777,0.8317165856481481,0.8539447974537037,0.0024768951292082684,5,0.5,0.6
